name;priceDM;sale_price;picture;product_category;sku
Ванночка для купания младенцев Little Siberica Цветочная 200мл;1 390 ₸;829 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4960846
Порошок стиральный Meine Liebe гипоаллергенный для чувствительной кожи 1кг;4 159 ₸;4 159 ₸;https://static.detmir.st/media_out/521/751/3751521/450/0.jpg?1657946318759;Детский мир>Гигиена и уход>Бытовая химия детская;3751521
Бальзам-помада для губ Моё солнышко Пантенол 2.8г с 0месяцев;679 ₸;679 ₸;https://static.detmir.st/media_out/053/525/3525053/450/0.jpg?1657945550363;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3525053
Бальзам для губ Enchantimals Дыня;890 ₸;799 ₸;https://static.detmir.st/media_out/533/088/3088533/450/0.jpg?1652264499265;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3088533
Кондиционер для белья BioMio с эфирным маслом эвкалипта 1л;2 959 ₸;2 959 ₸;https://static.detmir.st/media_out/807/127/3127807/450/0.jpg?1652264505850;Детский мир>Гигиена и уход>Бытовая химия детская;3127807
Пенка для купания Моё солнышко с чередой 200 мл;890 ₸;890 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;35811
Средство для мытья посуды овощей Bio Mio Bio-Care Хлопок 450мл;1 590 ₸;1 590 ₸;https://static.detmir.st/media_out/021/326/326021/450/0.jpg?1652264467990;Детский мир>Гигиена и уход>Бытовая химия детская;326021
Крем для младенцев Bubchen 150мл;2 590 ₸;2 590 ₸;https://static.detmir.st/media/hXAIBPd8MX8fVNVFK7Ge3aSuoM3j8Opb-sZhFIZkoDU=?preset=webp;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;4824987
Моющая жидкость для полов и стен Mr.Proper Бережная уборка 500мл;845 ₸;765 ₸;https://static.detmir.st/media_pim/272/092/3092272/450/0.jpg?1678371494846;Детский мир>Гигиена и уход>Бытовая химия детская;3092272
Молочко детское Bubchen 200мл 12471330;2 190 ₸;1 859 ₸;https://static.detmir.st/media_pim/989/824/4824989/450/0.jpg?1678871017467;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;4824989
Гель Моё солнышко для подмывания младенцев с календулой 400 мл;1 690 ₸;1 690 ₸;https://static.detmir.st/media_out/681/035/35681/450/0.jpg?1652261101534;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;35681
Гель для стирки детских вещей и пеленок DR.TUTTELLE 1.5л;9 900 ₸;8 909 ₸;https://static.detmir.st/media_out/346/257/4257346/450/0.jpg?1652264661068;Детский мир>Гигиена и уход>Бытовая химия детская;4257346
